ID_Cliente;Nome;Sobrenome;Categoria;Endereco;Cidade (Estado) - CEP;Email;Idade;CPF
1;Ágatha;Almeida;Bronze;Rua Padre Feijó 210;Goiânia (Goiás) - 74450-050;AgathaCunhaAlmeida@armyspy.com;47;748.350.821-33
2;Alex;Almeida;Ouro;Rua Centaurus 758;Boa Vista (Roraima) - 69316-451;AlexDiasAlmeida@cuvox.de;47;736.552.104-00
3;Alex;Almeida;Bronze;Rua Anita Malfati 1038;Santo André (São Paulo) - 09112-090;AlexRochaAlmeida@jourrapide.com;60;434.114.860-58
4;Alice;Almeida;Prata;Rua Mutum 1329;Goiânia (Goiás) - 74670-500;AliceFerreiraAlmeida@teleworm.us;53;940.901.707-61
5;Alice;Almeida;Bronze;Quadra SQN 413 Bloco H 649;Brasília (Distrito Federal) - 70876-080;AliceOliveiraAlmeida@fleckens.hu;67;741.600.719-45
6;Alice;Almeida;Platina;Vila Brasil 683;Recife (Pernambuco) - 50080-010;AliceGomesAlmeida@cuvox.de;80;867.332.494-72
7;Aline;Almeida;Diamante;Rua Pedro Gonçalves da Luz 1534;Joinville (Santa Catarina) - 89233-453;AlineFerreiraAlmeida@einrot.com;85;233.279.474-30
8;Aline;Almeida;Platina;Rua Carlos Afonso Ottino 1653;Rio de Janeiro (Rio de Janeiro) - 22770-300;AlineOliveiraAlmeida@jourrapide.com;42;311.542.743-30
9;Aline;Almeida;Bronze;Rua Edmilson Marcelino Rodrigues 1838;Suzano (São Paulo) - 08690-185;AlineBarbosaAlmeida@cuvox.de;70;908.293.325-02
10;Amanda;Almeida;Bronze;Rua Cornélio 977;Betim (Minas Gerais) - 32680-800;AmandaBarbosaAlmeida@cuvox.de;41;326.116.344-59
11;Amanda;Almeida;Bronze;Rua Antônio Francisco Guarriero 801;Lins (São Paulo) - 16403-249;AmandaDiasAlmeida@teleworm.us;52;368.449.677-48
12;Ana;Almeida;Diamante;Rua Olinda 1000;Jundiaí (São Paulo) - 13203-470;AnaCarvalhoAlmeida@gustr.com;41;466.084.583-47
13;André;Almeida;Diamante;Rua da Nogueira 1366;Curitiba (Paraná) - 82710-060;AndrePintoAlmeida@fleckens.hu;57;174.997.505-07
